t ref, , 5.00003144092382712e+01
Ejecta, C, 2.93409897198337634e-02
Ejecta, O, 9.65930385291951382e-02
Ejecta, Mg, 3.36373337387779192e-02
Ejecta, Si, 5.03819892025349825e-01
Ejecta, Fe, 1.58815745120739678e+01
Shell, ,9.62717802100747505e-02
Abd, C, 7.93996427134042032e-02
Abd, O, 2.61775976059666182e-01
Abd, Mg, 9.12296913729089137e-02
Abd, Si, 3.75968091057661380e-01
Abd, Fe, 9.99999997383112516e-01
Dens, C, 5.93923145931677388e-01
Dens, O, 5.93923145931677388e-01
Dens, Mg, 5.93923145931677388e-01
Dens, Si, 1.61977716463676491e+00
Dens, Fe, 1.59090967838190238e+01
Dens, Shell, 9.64720606967141847e-02
Vel, C, 1.61351654804509330e+09
Vel, O, 1.61351654804509330e+09
Vel, Mg, 1.61351654804509330e+09
Vel, Si, 9.74151176432841063e+08
Vel, Fe, 9.31359005891863555e+07
Vel, Shell, 1.88033831730060029e+09
t norm, C, 5.00003144092382712e+01
t norm, O, 5.00003144092382712e+01
t norm, Mg, 5.00003144092382712e+01
t norm, Si, 5.00003144092382712e+01
t norm, Fe, 5.00003144092382712e+01
t norm, Shell, 5.00003144092382712e+01
