t ref, , 5.00000907123578600e+01
Ejecta, C, 1.70761222574651768e-02
Ejecta, O, 4.17758089847072786e-02
Ejecta, Mg, 1.23277512320140448e-02
Ejecta, Si, 4.89706664797155689e-01
Ejecta, Fe, 1.58370733714905949e+01
Shell, ,2.18018079987227220e-02
Abd, C, 1.68217275349977158e-01
Abd, O, 4.11521827231633941e-01
Abd, Mg, 1.21377513099676052e-01
Abd, Si, 3.91909394670301781e-01
Abd, Fe, 9.99999997144661812e-01
Dens, C, 1.53705879904548259e-01
Dens, O, 1.53705879904548259e-01
Dens, Mg, 1.53705879904548259e-01
Dens, Si, 1.53911845699136607e+00
Dens, Fe, 1.59062460867468047e+01
Dens, Shell, 2.24818615776642659e-02
Vel, C, 1.98270020407717037e+09
Vel, O, 1.98270020407717037e+09
Vel, Mg, 1.98270020407717037e+09
Vel, Si, 9.90070940616599917e+08
Vel, Fe, 8.95412995389689803e+07
Vel, Shell, 2.25899907122598886e+09
t norm, C, 5.00000907123578600e+01
t norm, O, 5.00000907123578600e+01
t norm, Mg, 5.00000907123578600e+01
t norm, Si, 5.00000907123578600e+01
t norm, Fe, 5.00000907123578600e+01
t norm, Shell, 5.00000907123578600e+01
