t ref, , 5.00005483500319770e+01
Ejecta, C, 2.31317207364575214e-02
Ejecta, O, 6.10735751016104472e-02
Ejecta, Mg, 1.90869602639403904e-02
Ejecta, Si, 4.04855614578065848e-01
Ejecta, Fe, 1.58281097168595473e+01
Shell, ,4.05690584681863906e-02
Abd, C, 1.44890796023128932e-01
Abd, O, 3.74823989336965036e-01
Abd, Mg, 1.15955883294568129e-01
Abd, Si, 5.59204443437216758e-01
Abd, Fe, 9.99999997380565109e-01
Dens, C, 2.87561314015922609e-01
Dens, O, 2.87653714677551686e-01
Dens, Mg, 2.87664642925179070e-01
Dens, Si, 1.13117221387476907e+00
Dens, Fe, 1.59088429774014255e+01
Dens, Shell, 4.07051994832393557e-02
Vel, C, 1.82805083926595187e+09
Vel, O, 1.82805083926595187e+09
Vel, Mg, 1.82805083926595187e+09
Vel, Si, 1.12946516289374709e+09
Vel, Fe, 8.92353966168874651e+07
Vel, Shell, 2.08810828083516669e+09
t norm, C, 5.00005483500319770e+01
t norm, O, 5.00005483500319770e+01
t norm, Mg, 5.00005483500319770e+01
t norm, Si, 5.00005483500319770e+01
t norm, Fe, 5.00005483500319770e+01
t norm, Shell, 5.00005483500319770e+01
