Elem,Atomic Weight,Abundance,Uncertainty,"All values from Seitenzahl et al., 2013, MNRAS 429:1156"
C ,12,-1.91E+00,0.01,Uncertainties estimated as 1% of abundance values
C ,13,-7.15E+00,0.01,Abundances by mass
N ,14,-4.88E+00,0.01,
N ,15,-7.79E+00,0.01,
O ,16,-1.05E+00,0.01,
O ,17,-5.75E+00,0.01,
O ,18,-7.74E+00,0.01,
F ,19,-9.72E+00,0.01,
Ne ,20,-2.21E+00,0.01,
Ne ,21,-5.85E+00,0.01,
Ne ,22,-3.46E+00,0.01,
Na ,23,-4.01E+00,0.01,
Mg ,24,-1.86E+00,0.01,
Mg ,25,-3.84E+00,0.01,
Mg ,26,-3.66E+00,0.01,
Al ,27,-3.13E+00,0.01,
Si ,28,-7.13E-01,0.01,
Si ,29,-3.03E+00,0.01,
Si ,30,-2.70E+00,0.01,
P ,31,-3.33E+00,0.01,
S ,32,-1.12E+00,0.01,
S ,33,-3.63E+00,0.01,
S ,34,-2.58E+00,0.01,
S ,36,-6.59E+00,0.01,
Cl ,35,-3.87E+00,0.01,
Cl ,37,-4.65E+00,0.01,
Ar ,36,-1.90E+00,0.01,
Ar ,38,-2.92E+00,0.01,
Ar ,40,-8.32E+00,0.01,
K ,39,-4.17E+00,0.01,
K ,41,-5.42E+00,0.01,
Ca ,40,-1.97E+00,0.01,
Ca ,42,-4.59E+00,0.01,
Ca ,43,-7.40E+00,0.01,
Ca ,44,-5.13E+00,0.01,
Ca ,46,-1.04E+01,0.01,
Ca ,48,-1.44E+01,0.01,
Sc ,45,-6.86E+00,0.01,
Ti ,46,-4.88E+00,0.01,
Ti ,47,-6.33E+00,0.01,
Ti ,48,-3.63E+00,0.01,
Ti ,49,-4.72E+00,0.01,
Ti ,50,-6.94E+00,0.01,
V ,50,-8.44E+00,0.01,
V ,51,-4.11E+00,0.01,
Cr ,50,-3.50E+00,0.01,
Cr ,52,-2.20E+00,0.01,
Cr ,53,-3.04E+00,0.01,
Cr ,54,-5.21E+00,0.01,
Mn ,55,-2.00E+00,0.01,
Fe ,54,-1.13E+00,0.01,
Fe ,56,-3.80E-01,0.01,
Fe ,57,-1.89E+00,0.01,
Fe ,58,-4.36E+00,0.01,
Co ,59,-3.43E+00,0.01,
Ni ,58,-1.30E+00,0.01,
Ni ,60,-2.49E+00,0.01,
Ni ,61,-4.60E+00,0.01,
Ni ,62,-3.68E+00,0.01,
Ni ,64,-7.76E+00,0.01,
Cu ,63,-6.64E+00,0.01,
Cu ,65,-7.36E+00,0.01,
Zn ,64,-6.12E+00,0.01,
Zn ,66,-6.00E+00,0.01,
Zn ,67,-9.21E+00,0.01,
Zn ,68,-9.39E+00,0.01,
Zn ,70,-1.50E+01,0.01,
Ga ,69,-1.26E+01,0.01,
Ga ,71,-1.46E+01,0.01,
