Elem,Atomic Weight,Abundance,Uncertainty,"All values from Seitenzahl et al., 2013, MNRAS 429:1156"
C ,12,-2.55E+00,0.01,Uncertainties estimated as 1% of abundance values
C ,13,-7.81E+00,0.01,Abundances by mass
N ,14,-5.51E+00,0.01,
N ,15,-8.43E+00,0.01,
O ,16,-1.15E+00,0.01,
O ,17,-6.40E+00,0.01,
O ,18,-8.42E+00,0.01,
F ,19,-1.04E+01,0.01,
Ne ,20,-2.53E+00,0.01,
Ne ,21,-6.41E+00,0.01,
Ne ,22,-4.38E+00,0.01,
Na ,23,-4.48E+00,0.01,
Mg ,24,-1.96E+00,0.01,
Mg ,25,-4.26E+00,0.01,
Mg ,26,-4.08E+00,0.01,
Al ,27,-3.30E+00,0.01,
Si ,28,-7.33E-01,0.01,
Si ,29,-3.13E+00,0.01,
Si ,30,-2.77E+00,0.01,
P ,31,-3.40E+00,0.01,
S ,32,-1.14E+00,0.01,
S ,33,-3.65E+00,0.01,
S ,34,-2.57E+00,0.01,
S ,36,-6.74E+00,0.01,
Cl ,35,-3.92E+00,0.01,
Cl ,37,-4.65E+00,0.01,
Ar ,36,-1.94E+00,0.01,
Ar ,38,-2.91E+00,0.01,
Ar ,40,-8.42E+00,0.01,
K ,39,-4.17E+00,0.01,
K ,41,-5.42E+00,0.01,
Ca ,40,-2.02E+00,0.01,
Ca ,42,-4.58E+00,0.01,
Ca ,43,-7.40E+00,0.01,
Ca ,44,-5.19E+00,0.01,
Ca ,46,-1.05E+01,0.01,
Ca ,48,-1.44E+01,0.01,
Sc ,45,-6.88E+00,0.01,
Ti ,46,-4.87E+00,0.01,
Ti ,47,-6.34E+00,0.01,
Ti ,48,-3.69E+00,0.01,
Ti ,49,-4.77E+00,0.01,
Ti ,50,-6.94E+00,0.01,
V ,50,-8.48E+00,0.01,
V ,51,-4.17E+00,0.01,
Cr ,50,-3.54E+00,0.01,
Cr ,52,-2.26E+00,0.01,
Cr ,53,-3.10E+00,0.01,
Cr ,54,-5.27E+00,0.01,
Mn ,55,-2.06E+00,0.01,
Fe ,54,-1.19E+00,0.01,
Fe ,56,-3.20E-01,0.01,
Fe ,57,-1.84E+00,0.01,
Fe ,58,-4.42E+00,0.01,
Co ,59,-3.40E+00,0.01,
Ni ,58,-1.31E+00,0.01,
Ni ,60,-2.50E+00,0.01,
Ni ,61,-4.33E+00,0.01,
Ni ,62,-3.42E+00,0.01,
Ni ,64,-7.77E+00,0.01,
Cu ,63,-6.50E+00,0.01,
Cu ,65,-7.12E+00,0.01,
Zn ,64,-5.91E+00,0.01,
Zn ,66,-5.76E+00,0.01,
Zn ,67,-8.99E+00,0.01,
Zn ,68,-9.20E+00,0.01,
Zn ,70,-1.50E+01,0.01,
Ga ,69,-1.27E+01,0.01,
Ga ,71,-1.46E+01,0.01,
