Elem,Atomic Weight,Abundance,Uncertainty,"All values from Seitenzahl et al., 2013, MNRAS 429:1156 Table 3"
C ,14,-9.02E+00,0.01,Uncertainties estimated as 1% of abundance values
Na ,22,-7.94E+00,0.01,Abundances by mass
Al ,26,-6.87E+00,0.01,
Si ,32,-1.42E+01,0.01,
P ,32,-9.53E+00,0.01,
P ,33,-9.96E+00,0.01,
S ,35,-1.04E+01,0.01,
Cl ,36,-8.91E+00,0.01,
Ar ,37,-5.29E+00,0.01,
Ar ,39,-1.17E+01,0.01,
K ,40,-1.01E+01,0.01,
Ca ,41,-6.14E+00,0.01,
Ti ,44,-4.73E+00,0.01,
V ,48,-7.36E+00,0.01,
V ,49,-7.04E+00,0.01,
Cr ,48,-3.25E+00,0.01,
Cr ,49,-5.01E+00,0.01,
Cr ,51,-5.31E+00,0.01,
Mn ,51,-4.49E+00,0.01,
Mn ,52,-5.22E+00,0.01,
Mn ,53,-3.60E+00,0.01,
Mn ,54,-5.39E+00,0.01,
Fe ,52,-1.88E+00,0.01,
Fe ,53,-3.18E+00,0.01,
Fe ,55,-2.62E+00,0.01,
Fe ,59,-8.42E+00,0.01,
Fe ,60,-9.24E+00,0.01,
Co ,55,-2.05E+00,0.01,
Co ,56,-3.85E+00,0.01,
Co ,57,-2.92E+00,0.01,
Co ,58,-5.21E+00,0.01,
Co ,60,-7.54E+00,0.01,
Ni ,56,-2.03E-02,0.01,
Ni ,57,-1.76E+00,0.01,
Ni ,59,-3.22E+00,0.01,
Ni ,63,-7.61E+00,0.01,
Zn ,62,-4.14E+00,0.01,
Zn ,65,-8.79E+00,0.01,
Ge ,65,-6.85E+00,0.01,
Ge ,68,-1.00E+01,0.01,
