Elem,Atomic Weight,Abundance,Uncertainty,"All values from Seitenzahl et al., 2013, MNRAS 429:1156 Table 3"
C ,14,-5.11E+00,0.01,Uncertainties estimated as 1% of abundance values
Na ,22,-8.07E+00,0.01,Abundances by mass
Al ,26,-5.98E+00,0.01,
Si ,32,-7.66E+00,0.01,
P ,32,-6.23E+00,0.01,
P ,33,-6.38E+00,0.01,
S ,35,-6.17E+00,0.01,
Cl ,36,-6.09E+00,0.01,
Ar ,37,-4.57E+00,0.01,
Ar ,39,-7.86E+00,0.01,
K ,40,-7.22E+00,0.01,
Ca ,41,-5.33E+00,0.01,
Ti ,44,-5.00E+00,0.01,
V ,48,-7.12E+00,0.01,
V ,49,-6.53E+00,0.01,
Cr ,48,-3.49E+00,0.01,
Cr ,49,-4.60E+00,0.01,
Cr ,51,-5.14E+00,0.01,
Mn ,51,-4.04E+00,0.01,
Mn ,52,-5.33E+00,0.01,
Mn ,53,-3.73E+00,0.01,
Mn ,54,-5.61E+00,0.01,
Fe ,52,-2.08E+00,0.01,
Fe ,53,-3.02E+00,0.01,
Fe ,55,-2.83E+00,0.01,
Fe ,59,-8.41E+00,0.01,
Fe ,60,-9.12E+00,0.01,
Co ,55,-1.99E+00,0.01,
Co ,56,-4.00E+00,0.01,
Co ,57,-3.16E+00,0.01,
Co ,58,-5.45E+00,0.01,
Co ,60,-7.66E+00,0.01,
Ni ,56,-2.28E-02,0.01,
Ni ,57,-1.56E+00,0.01,
Ni ,59,-3.44E+00,0.01,
Ni ,63,-7.67E+00,0.01,
Zn ,62,-3.08E+00,0.01,
Zn ,65,-8.97E+00,0.01,
Ge ,65,-6.98E+00,0.01,
Ge ,68,-8.90E+00,0.01,
