Elem,Atomic Weight,Abundance,Uncertainty,"All values from Seitenzahl et al., 2013, MNRAS 429:1156 Table 3"
C ,14,-4.65E+00,0.01,Uncertainties estimated as 1% of abundance values
Na ,22,-7.49E+00,0.01,Abundances by mass
Al ,26,-5.39E+00,0.01,
Si ,32,-7.17E+00,0.01,
P ,32,-5.64E+00,0.01,
P ,33,-5.77E+00,0.01,
S ,35,-5.58E+00,0.01,
Cl ,36,-5.48E+00,0.01,
Ar ,37,-4.00E+00,0.01,
Ar ,39,-7.28E+00,0.01,
K ,40,-6.63E+00,0.01,
Ca ,41,-4.76E+00,0.01,
Ti ,44,-4.85E+00,0.01,
V ,48,-6.66E+00,0.01,
V ,49,-6.08E+00,0.01,
Cr ,48,-3.40E+00,0.01,
Cr ,49,-4.43E+00,0.01,
Cr ,51,-4.61E+00,0.01,
Mn ,51,-3.80E+00,0.01,
Mn ,52,-4.99E+00,0.01,
Mn ,53,-3.21E+00,0.01,
Mn ,54,-5.17E+00,0.01,
Fe ,52,-1.96E+00,0.01,
Fe ,53,-2.76E+00,0.01,
Fe ,55,-2.28E+00,0.01,
Fe ,59,-8.95E+00,0.01,
Fe ,60,-9.96E+00,0.01,
Co ,55,-1.62E+00,0.01,
Co ,56,-3.51E+00,0.01,
Co ,57,-2.61E+00,0.01,
Co ,58,-4.95E+00,0.01,
Co ,60,-7.82E+00,0.01,
Ni ,56,-3.57E-02,0.01,
Ni ,57,-1.50E+00,0.01,
Ni ,59,-2.97E+00,0.01,
Ni ,63,-8.02E+00,0.01,
Zn ,62,-3.66E+00,0.01,
Zn ,65,-9.04E+00,0.01,
Ge ,65,-7.43E+00,0.01,
Ge ,68,-9.27E+00,0.01,
