Elem,Atomic Weight,Abundance,Uncertainty,"All values from Seitenzahl et al., 2013, MNRAS 429:1156 Table 3"
C ,14,-6.66E+00,0.01,Uncertainties estimated as 1% of abundance values
Na ,22,-8.17E+00,0.01,Abundances by mass
Al ,26,-6.40E+00,0.01,
Si ,32,-1.06E+01,0.01,
P ,32,-7.45E+00,0.01,
P ,33,-7.71E+00,0.01,
S ,35,-8.28E+00,0.01,
Cl ,36,-7.28E+00,0.01,
Ar ,37,-4.87E+00,0.01,
Ar ,39,-9.76E+00,0.01,
K ,40,-8.72E+00,0.01,
Ca ,41,-5.68E+00,0.01,
Ti ,44,-4.76E+00,0.01,
V ,48,-7.25E+00,0.01,
V ,49,-6.84E+00,0.01,
Cr ,48,-3.26E+00,0.01,
Cr ,49,-4.73E+00,0.01,
Cr ,51,-5.29E+00,0.01,
Mn ,51,-4.28E+00,0.01,
Mn ,52,-5.20E+00,0.01,
Mn ,53,-3.59E+00,0.01,
Mn ,54,-5.39E+00,0.01,
Fe ,52,-1.88E+00,0.01,
Fe ,53,-3.07E+00,0.01,
Fe ,55,-2.61E+00,0.01,
Fe ,59,-8.42E+00,0.01,
Fe ,60,-9.23E+00,0.01,
Co ,55,-1.99E+00,0.01,
Co ,56,-3.84E+00,0.01,
Co ,57,-2.92E+00,0.01,
Co ,58,-5.21E+00,0.01,
Co ,60,-7.54E+00,0.01,
Ni ,56,-2.18E-02,0.01,
Ni ,57,-1.71E+00,0.01,
Ni ,59,-3.27E+00,0.01,
Ni ,63,-7.61E+00,0.01,
Zn ,62,-3.94E+00,0.01,
Zn ,65,-8.84E+00,0.01,
Ge ,65,-6.91E+00,0.01,
Ge ,68,-9.91E+00,0.01,
