Elem,Atomic Weight,Abundance,Uncertainty,"All values from Seitenzahl et al., 2013, MNRAS 429:1156 Table 3"
C ,14,-5.42E+00,0.01,Uncertainties estimated as 1% of abundance values
Na ,22,-8.18E+00,0.01,Abundances by mass
Al ,26,-6.06E+00,0.01,
Si ,32,-7.83E+00,0.01,
P ,32,-6.12E+00,0.01,
P ,33,-6.24E+00,0.01,
S ,35,-6.08E+00,0.01,
Cl ,36,-5.92E+00,0.01,
Ar ,37,-4.28E+00,0.01,
Ar ,39,-7.70E+00,0.01,
K ,40,-7.05E+00,0.01,
Ca ,41,-5.03E+00,0.01,
Ti ,44,-4.81E+00,0.01,
V ,48,-6.85E+00,0.01,
V ,49,-6.26E+00,0.01,
Cr ,48,-3.31E+00,0.01,
Cr ,49,-4.40E+00,0.01,
Cr ,51,-4.84E+00,0.01,
Mn ,51,-3.83E+00,0.01,
Mn ,52,-5.10E+00,0.01,
Mn ,53,-3.44E+00,0.01,
Mn ,54,-5.33E+00,0.01,
Fe ,52,-1.91E+00,0.01,
Fe ,53,-2.81E+00,0.01,
Fe ,55,-2.54E+00,0.01,
Fe ,59,-8.38E+00,0.01,
Fe ,60,-9.19E+00,0.01,
Co ,55,-1.75E+00,0.01,
Co ,56,-3.74E+00,0.01,
Co ,57,-2.87E+00,0.01,
Co ,58,-5.17E+00,0.01,
Co ,60,-7.50E+00,0.01,
Ni ,56,-2.96E-02,0.01,
Ni ,57,-1.56E+00,0.01,
Ni ,59,-3.22E+00,0.01,
Ni ,63,-7.57E+00,0.01,
Zn ,62,-3.30E+00,0.01,
Zn ,65,-8.94E+00,0.01,
Ge ,65,-7.09E+00,0.01,
Ge ,68,-9.01E+00,0.01,
