Elem,Atomic Weight,Abundance,Uncertainty,"All values from Seitenzahl et al., 2013, MNRAS 429:1156 Table 3"
C ,14,-4.64E+00,0.01,Uncertainties estimated as 1% of abundance values
Na ,22,-7.72E+00,0.01,Abundances by mass
Al ,26,-5.63E+00,0.01,
Si ,32,-7.24E+00,0.01,
P ,32,-5.96E+00,0.01,
P ,33,-6.14E+00,0.01,
S ,35,-5.89E+00,0.01,
Cl ,36,-5.82E+00,0.01,
Ar ,37,-4.30E+00,0.01,
Ar ,39,-7.59E+00,0.01,
K ,40,-6.95E+00,0.01,
Ca ,41,-5.06E+00,0.01,
Ti ,44,-4.77E+00,0.01,
V ,48,-6.85E+00,0.01,
V ,49,-6.24E+00,0.01,
Cr ,48,-3.27E+00,0.01,
Cr ,49,-4.36E+00,0.01,
Cr ,51,-4.82E+00,0.01,
Mn ,51,-3.79E+00,0.01,
Mn ,52,-5.05E+00,0.01,
Mn ,53,-3.39E+00,0.01,
Mn ,54,-5.30E+00,0.01,
Fe ,52,-1.87E+00,0.01,
Fe ,53,-2.77E+00,0.01,
Fe ,55,-2.48E+00,0.01,
Fe ,59,-8.53E+00,0.01,
Fe ,60,-9.39E+00,0.01,
Co ,55,-1.71E+00,0.01,
Co ,56,-3.68E+00,0.01,
Co ,57,-2.81E+00,0.01,
Co ,58,-5.11E+00,0.01,
Co ,60,-7.58E+00,0.01,
Ni ,56,-3.15E-02,0.01,
Ni ,57,-1.56E+00,0.01,
Ni ,59,-3.16E+00,0.01,
Ni ,63,-7.68E+00,0.01,
Zn ,62,-3.42E+00,0.01,
Zn ,65,-8.98E+00,0.01,
Ge ,65,-7.18E+00,0.01,
Ge ,68,-9.08E+00,0.01,
