Elem,Atomic Weight,Abundance,Uncertainty,"All values from Seitenzahl et al., 2013, MNRAS 429:1156 Table 3"
C ,14,-5.32E+00,0.01,Uncertainties estimated as 1% of abundance values
Na ,22,-8.13E+00,0.01,Abundances by mass
Al ,26,-6.03E+00,0.01,
Si ,32,-7.79E+00,0.01,
P ,32,-6.14E+00,0.01,
P ,33,-6.27E+00,0.01,
S ,35,-6.10E+00,0.01,
Cl ,36,-5.96E+00,0.01,
Ar ,37,-4.36E+00,0.01,
Ar ,39,-7.74E+00,0.01,
K ,40,-7.09E+00,0.01,
Ca ,41,-5.11E+00,0.01,
Ti ,44,-4.88E+00,0.01,
V ,48,-6.94E+00,0.01,
V ,49,-6.35E+00,0.01,
Cr ,48,-3.39E+00,0.01,
Cr ,49,-4.48E+00,0.01,
Cr ,51,-4.93E+00,0.01,
Mn ,51,-3.91E+00,0.01,
Mn ,52,-5.18E+00,0.01,
Mn ,53,-3.54E+00,0.01,
Mn ,54,-5.46E+00,0.01,
Fe ,52,-1.99E+00,0.01,
Fe ,53,-2.88E+00,0.01,
Fe ,55,-2.64E+00,0.01,
Fe ,59,-8.61E+00,0.01,
Fe ,60,-9.43E+00,0.01,
Co ,55,-1.82E+00,0.01,
Co ,56,-3.81E+00,0.01,
Co ,57,-2.97E+00,0.01,
Co ,58,-5.28E+00,0.01,
Co ,60,-7.71E+00,0.01,
Ni ,56,-2.71E-02,0.01,
Ni ,57,-1.55E+00,0.01,
Ni ,59,-3.29E+00,0.01,
Ni ,63,-7.79E+00,0.01,
Zn ,62,-3.17E+00,0.01,
Zn ,65,-8.92E+00,0.01,
Ge ,65,-6.99E+00,0.01,
Ge ,68,-8.92E+00,0.01,
