Elem,Atomic Weight,Abundance,Uncertainty,"All values from Seitenzahl et al., 2013, MNRAS 429:1156"
C ,12,-2.12E+00,0.01,Uncertainties estimated as 1% of abundance values
C ,13,-7.40E+00,0.01,Abundances by mass
N ,14,-5.13E+00,0.01,
N ,15,-8.04E+00,0.01,
O ,16,-8.65E-01,0.01,
O ,17,-6.01E+00,0.01,
O ,18,-7.99E+00,0.01,
F ,19,-9.95E+00,0.01,
Ne ,20,-2.17E+00,0.01,
Ne ,21,-6.04E+00,0.01,
Ne ,22,-3.78E+00,0.01,
Na ,23,-4.11E+00,0.01,
Mg ,24,-1.66E+00,0.01,
Mg ,25,-3.90E+00,0.01,
Mg ,26,-3.73E+00,0.01,
Al ,27,-2.98E+00,0.01,
Si ,28,-5.89E-01,0.01,
Si ,29,-2.85E+00,0.01,
Si ,30,-2.49E+00,0.01,
P ,31,-3.13E+00,0.01,
S ,32,-1.06E+00,0.01,
S ,33,-3.41E+00,0.01,
S ,34,-2.33E+00,0.01,
S ,36,-6.45E+00,0.01,
Cl ,35,-3.67E+00,0.01,
Cl ,37,-4.43E+00,0.01,
Ar ,36,-1.93E+00,0.01,
Ar ,38,-2.67E+00,0.01,
Ar ,40,-8.15E+00,0.01,
K ,39,-3.94E+00,0.01,
K ,41,-5.20E+00,0.01,
Ca ,40,-2.10E+00,0.01,
Ca ,42,-4.34E+00,0.01,
Ca ,43,-7.18E+00,0.01,
Ca ,44,-5.36E+00,0.01,
Ca ,46,-1.02E+01,0.01,
Ca ,48,-1.45E+01,0.01,
Sc ,45,-6.75E+00,0.01,
Ti ,46,-4.65E+00,0.01,
Ti ,47,-6.22E+00,0.01,
Ti ,48,-3.97E+00,0.01,
Ti ,49,-4.94E+00,0.01,
Ti ,50,-9.07E+00,0.01,
V ,50,-8.36E+00,0.01,
V ,51,-4.24E+00,0.01,
Cr ,50,-3.44E+00,0.01,
Cr ,52,-2.47E+00,0.01,
Cr ,53,-3.12E+00,0.01,
Cr ,54,-5.65E+00,0.01,
Mn ,55,-2.03E+00,0.01,
Fe ,54,-1.06E+00,0.01,
Fe ,56,-5.55E-01,0.01,
Fe ,57,-1.98E+00,0.01,
Fe ,58,-5.30E+00,0.01,
Co ,59,-3.35E+00,0.01,
Ni ,58,-1.27E+00,0.01,
Ni ,60,-2.38E+00,0.01,
Ni ,61,-4.98E+00,0.01,
Ni ,62,-4.15E+00,0.01,
Ni ,64,-1.09E+01,0.01,
Cu ,63,-6.87E+00,0.01,
Cu ,65,-7.76E+00,0.01,
Zn ,64,-6.39E+00,0.01,
Zn ,66,-6.39E+00,0.01,
Zn ,67,-9.57E+00,0.01,
Zn ,68,-9.79E+00,0.01,
Zn ,70,-2.13E+01,0.01,
Ga ,69,-1.42E+01,0.01,
Ga ,71,-1.54E+01,0.01,
