Elem,Atomic Weight,Abundance,Uncertainty,"All values from Seitenzahl et al., 2013, MNRAS 429:1156"
C ,12,-2.50E+00,0.01,Uncertainties estimated as 1% of abundance values
C ,13,-7.74E+00,0.01,Abundances by mass
N ,14,-5.56E+00,0.01,
N ,15,-8.50E+00,0.01,
O ,16,-1.43E+00,0.01,
O ,17,-6.42E+00,0.01,
O ,18,-8.49E+00,0.01,
F ,19,-1.04E+01,0.01,
Ne ,20,-2.77E+00,0.01,
Ne ,21,-6.53E+00,0.01,
Ne ,22,-4.03E+00,0.01,
Na ,23,-4.64E+00,0.01,
Mg ,24,-2.26E+00,0.01,
Mg ,25,-4.44E+00,0.01,
Mg ,26,-4.27E+00,0.01,
Al ,27,-3.58E+00,0.01,
Si ,28,-1.01E+00,0.01,
Si ,29,-3.43E+00,0.01,
Si ,30,-3.07E+00,0.01,
P ,31,-3.70E+00,0.01,
S ,32,-1.39E+00,0.01,
S ,33,-3.96E+00,0.01,
S ,34,-2.90E+00,0.01,
S ,36,-7.00E+00,0.01,
Cl ,35,-4.22E+00,0.01,
Cl ,37,-4.96E+00,0.01,
Ar ,36,-2.15E+00,0.01,
Ar ,38,-3.24E+00,0.01,
Ar ,40,-8.68E+00,0.01,
K ,39,-4.48E+00,0.01,
K ,41,-5.72E+00,0.01,
Ca ,40,-2.20E+00,0.01,
Ca ,42,-4.91E+00,0.01,
Ca ,43,-7.68E+00,0.01,
Ca ,44,-5.33E+00,0.01,
Ca ,46,-1.07E+01,0.01,
Ca ,48,-1.43E+01,0.01,
Sc ,45,-7.13E+00,0.01,
Ti ,46,-5.19E+00,0.01,
Ti ,47,-6.59E+00,0.01,
Ti ,48,-3.83E+00,0.01,
Ti ,49,-4.94E+00,0.01,
Ti ,50,-6.99E+00,0.01,
V ,50,-8.78E+00,0.01,
V ,51,-4.35E+00,0.01,
Cr ,50,-3.79E+00,0.01,
Cr ,52,-2.41E+00,0.01,
Cr ,53,-3.30E+00,0.01,
Cr ,54,-5.43E+00,0.01,
Mn ,55,-2.26E+00,0.01,
Fe ,54,-1.47E+00,0.01,
Fe ,56,-1.70E-01,0.01,
Fe ,57,-1.70E+00,0.01,
Fe ,58,-4.59E+00,0.01,
Co ,59,-3.37E+00,0.01,
Ni ,58,-1.29E+00,0.01,
Ni ,60,-2.59E+00,0.01,
Ni ,61,-4.14E+00,0.01,
Ni ,62,-3.24E+00,0.01,
Ni ,64,-7.81E+00,0.01,
Cu ,63,-6.39E+00,0.01,
Cu ,65,-7.03E+00,0.01,
Zn ,64,-5.82E+00,0.01,
Zn ,66,-5.65E+00,0.01,
Zn ,67,-8.89E+00,0.01,
Zn ,68,-9.10E+00,0.01,
Zn ,70,-1.49E+01,0.01,
Ga ,69,-1.28E+01,0.01,
Ga ,71,-1.46E+01,0.01,
