Elem,Atomic Weight,Abundance,Uncertainty,"All values from Seitenzahl et al., 2013, MNRAS 429:1156"
C ,12,-1.92E+00,0.01,Uncertainties estimated as 1% of abundance values
C ,13,-7.22E+00,0.01,Abundances by mass
N ,14,-4.87E+00,0.01,
N ,15,-7.76E+00,0.01,
O ,16,-7.11E-01,0.01,
O ,17,-5.76E+00,0.01,
O ,18,-7.71E+00,0.01,
F ,19,-9.67E+00,0.01,
Ne ,20,-1.91E+00,0.01,
Ne ,21,-5.77E+00,0.01,
Ne ,22,-3.67E+00,0.01,
Na ,23,-3.84E+00,0.01,
Mg ,24,-1.48E+00,0.01,
Mg ,25,-3.65E+00,0.01,
Mg ,26,-3.46E+00,0.01,
Al ,27,-2.77E+00,0.01,
Si ,28,-6.09E-01,0.01,
Si ,29,-2.69E+00,0.01,
Si ,30,-2.33E+00,0.01,
P ,31,-2.98E+00,0.01,
S ,32,-1.13E+00,0.01,
S ,33,-3.31E+00,0.01,
S ,34,-2.24E+00,0.01,
S ,36,-6.26E+00,0.01,
Cl ,35,-3.56E+00,0.01,
Cl ,37,-4.39E+00,0.01,
Ar ,36,-2.06E+00,0.01,
Ar ,38,-2.61E+00,0.01,
Ar ,40,-7.98E+00,0.01,
K ,39,-3.90E+00,0.01,
K ,41,-5.16E+00,0.01,
Ca ,40,-2.27E+00,0.01,
Ca ,42,-4.28E+00,0.01,
Ca ,43,-7.09E+00,0.01,
Ca ,44,-5.54E+00,0.01,
Ca ,46,-1.01E+01,0.01,
Ca ,48,-1.43E+01,0.01,
Sc ,45,-6.76E+00,0.01,
Ti ,46,-4.62E+00,0.01,
Ti ,47,-6.21E+00,0.01,
Ti ,48,-4.18E+00,0.01,
Ti ,49,-5.13E+00,0.01,
Ti ,50,-8.91E+00,0.01,
V ,50,-8.27E+00,0.01,
V ,51,-4.37E+00,0.01,
Cr ,50,-3.54E+00,0.01,
Cr ,52,-2.55E+00,0.01,
Cr ,53,-3.18E+00,0.01,
Cr ,54,-5.54E+00,0.01,
Mn ,55,-2.09E+00,0.01,
Fe ,54,-1.15E+00,0.01,
Fe ,56,-5.97E-01,0.01,
Fe ,57,-2.05E+00,0.01,
Fe ,58,-5.21E+00,0.01,
Co ,59,-3.35E+00,0.01,
Ni ,58,-1.36E+00,0.01,
Ni ,60,-2.32E+00,0.01,
Ni ,61,-4.94E+00,0.01,
Ni ,62,-4.12E+00,0.01,
Ni ,64,-1.07E+01,0.01,
Cu ,63,-6.79E+00,0.01,
Cu ,65,-7.70E+00,0.01,
Zn ,64,-6.34E+00,0.01,
Zn ,66,-6.34E+00,0.01,
Zn ,67,-9.52E+00,0.01,
Zn ,68,-9.74E+00,0.01,
Zn ,70,-2.10E+01,0.01,
Ga ,69,-1.41E+01,0.01,
Ga ,71,-1.53E+01,0.01,
