Elem,Atomic Weight,Abundance,Uncertainty,"All values from Seitenzahl et al., 2013, MNRAS 429:1156 Table 3"
C ,14,-5.19E+00,0.01,Uncertainties estimated as 1% of abundance values
Na ,22,-8.31E+00,0.01,Abundances by mass
Al ,26,-6.22E+00,0.01,
Si ,32,-7.83E+00,0.01,
P ,32,-6.53E+00,0.01,
P ,33,-6.70E+00,0.01,
S ,35,-6.45E+00,0.01,
Cl ,36,-6.39E+00,0.01,
Ar ,37,-4.89E+00,0.01,
Ar ,39,-8.14E+00,0.01,
K ,40,-7.50E+00,0.01,
Ca ,41,-5.65E+00,0.01,
Ti ,44,-5.29E+00,0.01,
V ,48,-7.46E+00,0.01,
V ,49,-6.89E+00,0.01,
Cr ,48,-3.79E+00,0.01,
Cr ,49,-4.90E+00,0.01,
Cr ,51,-5.51E+00,0.01,
Mn ,51,-4.34E+00,0.01,
Mn ,52,-5.68E+00,0.01,
Mn ,53,-4.14E+00,0.01,
Mn ,54,-6.04E+00,0.01,
Fe ,52,-2.37E+00,0.01,
Fe ,53,-3.29E+00,0.01,
Fe ,55,-3.28E+00,0.01,
Fe ,59,-8.88E+00,0.01,
Fe ,60,-9.62E+00,0.01,
Co ,55,-2.21E+00,0.01,
Co ,56,-4.27E+00,0.01,
Co ,57,-3.61E+00,0.01,
Co ,58,-5.89E+00,0.01,
Co ,60,-8.08E+00,0.01,
Ni ,56,-1.84E-02,0.01,
Ni ,57,-1.55E+00,0.01,
Ni ,59,-3.76E+00,0.01,
Ni ,63,-8.12E+00,0.01,
Zn ,62,-3.11E+00,0.01,
Zn ,65,-9.18E+00,0.01,
Ge ,65,-7.09E+00,0.01,
Ge ,68,-8.98E+00,0.01,
