Elem,Atomic Weight,Abundance,Uncertainty,"All values from Seitenzahl et al., 2013, MNRAS 429:1156"
C ,12,-2.65E+00,0.01,Uncertainties estimated as 1% of abundance values
C ,13,-8.22E+00,0.01,Abundances by mass
N ,14,-5.89E+00,0.01,
N ,15,-8.83E+00,0.01,
O ,16,-1.15E+00,0.01,
O ,17,-6.69E+00,0.01,
O ,18,-8.80E+00,0.01,
F ,19,-1.08E+01,0.01,
Ne ,20,-2.59E+00,0.01,
Ne ,21,-6.85E+00,0.01,
Ne ,22,-4.93E+00,0.01,
Na ,23,-4.73E+00,0.01,
Mg ,24,-1.84E+00,0.01,
Mg ,25,-4.66E+00,0.01,
Mg ,26,-4.50E+00,0.01,
Al ,27,-3.38E+00,0.01,
Si ,28,-6.83E-01,0.01,
Si ,29,-3.28E+00,0.01,
Si ,30,-3.07E+00,0.01,
P ,31,-3.59E+00,0.01,
S ,32,-1.10E+00,0.01,
S ,33,-3.77E+00,0.01,
S ,34,-2.88E+00,0.01,
S ,36,-7.56E+00,0.01,
Cl ,35,-4.15E+00,0.01,
Cl ,37,-4.79E+00,0.01,
Ar ,36,-1.88E+00,0.01,
Ar ,38,-3.23E+00,0.01,
Ar ,40,-9.48E+00,0.01,
K ,39,-4.35E+00,0.01,
K ,41,-5.56E+00,0.01,
Ca ,40,-1.95E+00,0.01,
Ca ,42,-4.92E+00,0.01,
Ca ,43,-7.77E+00,0.01,
Ca ,44,-5.11E+00,0.01,
Ca ,46,-1.18E+01,0.01,
Ca ,48,-1.44E+01,0.01,
Sc ,45,-6.99E+00,0.01,
Ti ,46,-5.18E+00,0.01,
Ti ,47,-6.62E+00,0.01,
Ti ,48,-3.61E+00,0.01,
Ti ,49,-4.83E+00,0.01,
Ti ,50,-6.74E+00,0.01,
V ,50,-8.67E+00,0.01,
V ,51,-4.26E+00,0.01,
Cr ,50,-3.74E+00,0.01,
Cr ,52,-2.19E+00,0.01,
Cr ,53,-3.14E+00,0.01,
Cr ,54,-5.12E+00,0.01,
Mn ,55,-2.10E+00,0.01,
Fe ,54,-1.23E+00,0.01,
Fe ,56,-3.36E-01,0.01,
Fe ,57,-1.93E+00,0.01,
Fe ,58,-4.25E+00,0.01,
Co ,59,-3.44E+00,0.01,
Ni ,58,-1.37E+00,0.01,
Ni ,60,-2.46E+00,0.01,
Ni ,61,-4.44E+00,0.01,
Ni ,62,-3.67E+00,0.01,
Ni ,64,-7.58E+00,0.01,
Cu ,63,-6.64E+00,0.01,
Cu ,65,-7.15E+00,0.01,
Zn ,64,-5.80E+00,0.01,
Zn ,66,-5.99E+00,0.01,
Zn ,67,-9.30E+00,0.01,
Zn ,68,-9.58E+00,0.01,
Zn ,70,-1.48E+01,0.01,
Ga ,69,-1.26E+01,0.01,
Ga ,71,-1.47E+01,0.01,
