Elem,Atomic Weight,Abundance,Uncertainty,"All values from Seitenzahl et al., 2013, MNRAS 429:1156"
C ,12,-2.18E+00,0.01,Uncertainties estimated as 1% of abundance values
C ,13,-7.49E+00,0.01,Abundances by mass
N ,14,-5.22E+00,0.01,
N ,15,-8.13E+00,0.01,
O ,16,-1.19E+00,0.01,
O ,17,-6.10E+00,0.01,
O ,18,-8.10E+00,0.01,
F ,19,-1.01E+01,0.01,
Ne ,20,-2.41E+00,0.01,
Ne ,21,-6.16E+00,0.01,
Ne ,22,-3.73E+00,0.01,
Na ,23,-4.28E+00,0.01,
Mg ,24,-1.98E+00,0.01,
Mg ,25,-4.10E+00,0.01,
Mg ,26,-3.91E+00,0.01,
Al ,27,-3.28E+00,0.01,
Si ,28,-8.49E-01,0.01,
Si ,29,-3.17E+00,0.01,
Si ,30,-2.82E+00,0.01,
P ,31,-3.46E+00,0.01,
S ,32,-1.26E+00,0.01,
S ,33,-3.76E+00,0.01,
S ,34,-2.69E+00,0.01,
S ,36,-6.74E+00,0.01,
Cl ,35,-4.02E+00,0.01,
Cl ,37,-4.79E+00,0.01,
Ar ,36,-2.04E+00,0.01,
Ar ,38,-3.05E+00,0.01,
Ar ,40,-8.47E+00,0.01,
K ,39,-4.31E+00,0.01,
K ,41,-5.57E+00,0.01,
Ca ,40,-2.09E+00,0.01,
Ca ,42,-4.72E+00,0.01,
Ca ,43,-7.51E+00,0.01,
Ca ,44,-5.24E+00,0.01,
Ca ,46,-1.05E+01,0.01,
Ca ,48,-1.39E+01,0.01,
Sc ,45,-7.01E+00,0.01,
Ti ,46,-5.02E+00,0.01,
Ti ,47,-6.46E+00,0.01,
Ti ,48,-3.72E+00,0.01,
Ti ,49,-4.83E+00,0.01,
Ti ,50,-6.61E+00,0.01,
V ,50,-8.58E+00,0.01,
V ,51,-4.24E+00,0.01,
Cr ,50,-3.66E+00,0.01,
Cr ,52,-2.29E+00,0.01,
Cr ,53,-3.17E+00,0.01,
Cr ,54,-5.11E+00,0.01,
Mn ,55,-2.16E+00,0.01,
Fe ,54,-1.32E+00,0.01,
Fe ,56,-2.48E-01,0.01,
Fe ,57,-1.78E+00,0.01,
Fe ,58,-4.28E+00,0.01,
Co ,59,-3.36E+00,0.01,
Ni ,58,-1.32E+00,0.01,
Ni ,60,-2.51E+00,0.01,
Ni ,61,-4.18E+00,0.01,
Ni ,62,-3.27E+00,0.01,
Ni ,64,-7.47E+00,0.01,
Cu ,63,-6.40E+00,0.01,
Cu ,65,-7.03E+00,0.01,
Zn ,64,-5.83E+00,0.01,
Zn ,66,-5.66E+00,0.01,
Zn ,67,-8.90E+00,0.01,
Zn ,68,-9.09E+00,0.01,
Zn ,70,-1.46E+01,0.01,
Ga ,69,-1.26E+01,0.01,
Ga ,71,-1.45E+01,0.01,
