Elem,Atomic Weight,Abundance,Uncertainty,"Values from Shen & Moore (2014), figure 11"
He,4,-0.2424580999,0.002,
Si,28,-3.5884280833,0.002,
Ca,40,-0.8238281155,0.002,
Ti,44,-0.6506540683,0.002,
Cr,48,-1.7391766507,0.002,
Fe,52,-3.5884280833,0.002,
