Elem,Atomic Weight,Abundance,Uncertainty,"All values from Seitenzahl et al., 2013, MNRAS 429:1156 Table 3"
C ,14,-5.71E+00,0.01,Uncertainties estimated as 1% of abundance values
Na ,22,-8.78E+00,0.01,Abundances by mass
Al ,26,-6.69E+00,0.01,
Si ,32,-8.25E+00,0.01,
P ,32,-6.90E+00,0.01,
P ,33,-7.06E+00,0.01,
S ,35,-6.81E+00,0.01,
Cl ,36,-6.73E+00,0.01,
Ar ,37,-5.21E+00,0.01,
Ar ,39,-8.45E+00,0.01,
K ,40,-7.82E+00,0.01,
Ca ,41,-5.96E+00,0.01,
Ti ,44,-5.55E+00,0.01,
V ,48,-7.79E+00,0.01,
V ,49,-7.23E+00,0.01,
Cr ,48,-4.05E+00,0.01,
Cr ,49,-5.16E+00,0.01,
Cr ,51,-5.92E+00,0.01,
Mn ,51,-4.55E+00,0.01,
Mn ,52,-5.91E+00,0.01,
Mn ,53,-4.58E+00,0.01,
Mn ,54,-6.66E+00,0.01,
Fe ,52,-2.52E+00,0.01,
Fe ,53,-3.37E+00,0.01,
Fe ,55,-3.94E+00,0.01,
Fe ,59,-9.60E+00,0.01,
Fe ,60,-1.04E+01,0.01,
Co ,55,-2.13E+00,0.01,
Co ,56,-4.36E+00,0.01,
Co ,57,-4.31E+00,0.01,
Co ,58,-6.57E+00,0.01,
Co ,60,-8.76E+00,0.01,
Ni ,56,-1.81E-02,0.01,
Ni ,57,-1.54E+00,0.01,
Ni ,59,-4.15E+00,0.01,
Ni ,63,-8.80E+00,0.01,
Zn ,62,-3.25E+00,0.01,
Zn ,65,-9.51E+00,0.01,
Ge ,65,-7.29E+00,0.01,
Ge ,68,-9.11E+00,0.01,
