Elem,Atomic Weight,Abundance,Uncertainty,"All values from Seitenzahl et al., 2013, MNRAS 429:1156"
C ,12,-2.19E+00,0.01,Uncertainties estimated as 1% of abundance values
C ,13,-7.44E+00,0.01,Abundances by mass
N ,14,-5.22E+00,0.01,
N ,15,-8.13E+00,0.01,
O ,16,-1.40E+00,0.01,
O ,17,-6.08E+00,0.01,
O ,18,-8.10E+00,0.01,
F ,19,-1.01E+01,0.01,
Ne ,20,-2.57E+00,0.01,
Ne ,21,-6.20E+00,0.01,
Ne ,22,-3.69E+00,0.01,
Na ,23,-4.36E+00,0.01,
Mg ,24,-2.22E+00,0.01,
Mg ,25,-4.20E+00,0.01,
Mg ,26,-4.02E+00,0.01,
Al ,27,-3.49E+00,0.01,
Si ,28,-1.07E+00,0.01,
Si ,29,-3.39E+00,0.01,
Si ,30,-3.06E+00,0.01,
P ,31,-3.69E+00,0.01,
S ,32,-1.47E+00,0.01,
S ,33,-3.99E+00,0.01,
S ,34,-2.95E+00,0.01,
S ,36,-6.93E+00,0.01,
Cl ,35,-4.23E+00,0.01,
Cl ,37,-5.02E+00,0.01,
Ar ,36,-2.24E+00,0.01,
Ar ,38,-3.29E+00,0.01,
Ar ,40,-8.65E+00,0.01,
K ,39,-4.53E+00,0.01,
K ,41,-5.78E+00,0.01,
Ca ,40,-2.30E+00,0.01,
Ca ,42,-4.96E+00,0.01,
Ca ,43,-7.73E+00,0.01,
Ca ,44,-5.43E+00,0.01,
Ca ,46,-1.07E+01,0.01,
Ca ,48,-1.43E+01,0.01,
Sc ,45,-7.21E+00,0.01,
Ti ,46,-5.24E+00,0.01,
Ti ,47,-6.67E+00,0.01,
Ti ,48,-3.92E+00,0.01,
Ti ,49,-5.04E+00,0.01,
Ti ,50,-7.02E+00,0.01,
V ,50,-8.86E+00,0.01,
V ,51,-4.45E+00,0.01,
Cr ,50,-3.88E+00,0.01,
Cr ,52,-2.49E+00,0.01,
Cr ,53,-3.37E+00,0.01,
Cr ,54,-5.49E+00,0.01,
Mn ,55,-2.31E+00,0.01,
Fe ,54,-1.56E+00,0.01,
Fe ,56,-1.55E-01,0.01,
Fe ,57,-1.68E+00,0.01,
Fe ,58,-4.64E+00,0.01,
Co ,59,-3.40E+00,0.01,
Ni ,58,-1.30E+00,0.01,
Ni ,60,-2.64E+00,0.01,
Ni ,61,-4.14E+00,0.01,
Ni ,62,-3.24E+00,0.01,
Ni ,64,-7.86E+00,0.01,
Cu ,63,-6.40E+00,0.01,
Cu ,65,-7.03E+00,0.01,
Zn ,64,-5.83E+00,0.01,
Zn ,66,-5.65E+00,0.01,
Zn ,67,-8.90E+00,0.01,
Zn ,68,-9.10E+00,0.01,
Zn ,70,-1.50E+01,0.01,
Ga ,69,-1.29E+01,0.01,
Ga ,71,-1.46E+01,0.01,
