Elem,Atomic Weight,Abundance,Uncertainty,"All values from Seitenzahl et al., 2013, MNRAS 429:1156"
C ,12,-2.06E+00,0.01,Uncertainties estimated as 1% of abundance values
C ,13,-7.33E+00,0.01,Abundances by mass
N ,14,-5.02E+00,0.01,
N ,15,-7.91E+00,0.01,
O ,16,-8.54E-01,0.01,
O ,17,-5.91E+00,0.01,
O ,18,-7.85E+00,0.01,
F ,19,-9.82E+00,0.01,
Ne ,20,-2.09E+00,0.01,
Ne ,21,-5.92E+00,0.01,
Ne ,22,-3.78E+00,0.01,
Na ,23,-4.01E+00,0.01,
Mg ,24,-1.63E+00,0.01,
Mg ,25,-3.82E+00,0.01,
Mg ,26,-3.63E+00,0.01,
Al ,27,-2.93E+00,0.01,
Si ,28,-6.30E-01,0.01,
Si ,29,-2.83E+00,0.01,
Si ,30,-2.47E+00,0.01,
P ,31,-3.11E+00,0.01,
S ,32,-1.10E+00,0.01,
S ,33,-3.43E+00,0.01,
S ,34,-2.35E+00,0.01,
S ,36,-6.41E+00,0.01,
Cl ,35,-3.69E+00,0.01,
Cl ,37,-4.48E+00,0.01,
Ar ,36,-1.97E+00,0.01,
Ar ,38,-2.72E+00,0.01,
Ar ,40,-8.13E+00,0.01,
K ,39,-3.99E+00,0.01,
K ,41,-5.25E+00,0.01,
Ca ,40,-2.12E+00,0.01,
Ca ,42,-4.39E+00,0.01,
Ca ,43,-7.21E+00,0.01,
Ca ,44,-5.34E+00,0.01,
Ca ,46,-1.02E+01,0.01,
Ca ,48,-1.44E+01,0.01,
Sc ,45,-6.80E+00,0.01,
Ti ,46,-4.71E+00,0.01,
Ti ,47,-6.26E+00,0.01,
Ti ,48,-3.89E+00,0.01,
Ti ,49,-4.91E+00,0.01,
Ti ,50,-7.49E+00,0.01,
V ,50,-8.36E+00,0.01,
V ,51,-4.23E+00,0.01,
Cr ,50,-3.49E+00,0.01,
Cr ,52,-2.40E+00,0.01,
Cr ,53,-3.12E+00,0.01,
Cr ,54,-5.45E+00,0.01,
Mn ,55,-2.03E+00,0.01,
Fe ,54,-1.09E+00,0.01,
Fe ,56,-5.07E-01,0.01,
Fe ,57,-1.96E+00,0.01,
Fe ,58,-4.69E+00,0.01,
Co ,59,-3.42E+00,0.01,
Ni ,58,-1.28E+00,0.01,
Ni ,60,-2.48E+00,0.01,
Ni ,61,-4.92E+00,0.01,
Ni ,62,-4.03E+00,0.01,
Ni ,64,-8.37E+00,0.01,
Cu ,63,-6.82E+00,0.01,
Cu ,65,-7.73E+00,0.01,
Zn ,64,-6.41E+00,0.01,
Zn ,66,-6.37E+00,0.01,
Zn ,67,-9.55E+00,0.01,
Zn ,68,-9.73E+00,0.01,
Zn ,70,-1.59E+01,0.01,
Ga ,69,-1.30E+01,0.01,
Ga ,71,-1.51E+01,0.01,
