Elem,Atomic Weight,Abundance,Uncertainty,"All values from Seitenzahl et al., 2013, MNRAS 429:1156"
C ,12,-2.7287941917,0.01,Uncertainties estimated as 1% of abundance values
C ,13,-7.880616876,0.01,Abundances by mass
N ,14,-5.6800518476,0.01,
N ,15,-8.6190954216,0.01,
O ,16,-1.7254789505,0.01,
O ,17,-6.5477395131,0.01,
O ,18,-8.6242966153,0.01,
F ,19,-10.5737258672,0.01,
Ne ,20,-2.9781173643,0.01,
Ne ,21,-6.6568839825,0.01,
Ne ,22,-4.339254725,0.01,
Na ,23,-4.8030120182,0.01,
Mg ,24,-2.5510421486,0.01,
Mg ,25,-4.620389892,0.01,
Mg ,26,-4.43362747,0.01,
Al ,27,-3.8487695088,0.01,
Si ,28,-1.3447176207,0.01,
Si ,29,-3.715682419,0.01,
Si ,30,-3.3701884393,0.01,
P ,31,-3.9993066633,0.01,
S ,32,-1.7271334077,0.01,
S ,33,-4.269794762,0.01,
S ,34,-3.2284546517,0.01,
S ,36,-7.2358786698,0.01,
Cl ,35,-4.5129774068,0.01,
Cl ,37,-5.280923618,0.01,
Ar ,36,-2.4902962642,0.01,
Ar ,38,-3.5690933488,0.01,
Ar ,40,-8.9201254173,0.01,
K ,39,-4.7913262599,0.01,
K ,41,-6.0348449887,0.01,
Ca ,40,-2.5379796758,0.01,
Ca ,42,-5.2253113727,0.01,
Ca ,43,-7.9332470946,0.01,
Ca ,44,-5.633551338,0.01,
Ca ,46,-10.9467776121,0.01,
Ca ,48,-14.8509684729,0.01,
Sc ,45,-7.436164738,0.01,
Ti ,46,-5.5089468027,0.01,
Ti ,47,-6.8901621939,0.01,
Ti ,48,-4.1368345273,0.01,
Ti ,49,-5.2390996572,0.01,
Ti ,50,-7.7509830182,0.01,
V ,50,-9.1936116637,0.01,
V ,51,-4.61268032,0.01,
Cr ,50,-4.1411133252,0.01,
Cr ,52,-2.595206346,0.01,
Cr ,53,-3.4252753956,0.01,
Cr ,54,-6.1519984685,0.01,
Mn ,55,-2.2039232664,0.01,
Fe ,54,-1.6654277561,0.01,
Fe ,56,-0.1001117202,0.01,
Fe ,57,-1.6178047981,0.01,
Fe ,58,-5.2917364872,0.01,
Co ,59,-3.5242584172,0.01,
Ni ,58,-1.2844980783,0.01,
Ni ,60,-2.8422386416,0.01,
Ni ,61,-4.2185779901,0.01,
Ni ,62,-3.329193399,0.01,
Ni ,64,-8.5180688424,0.01,
Cu ,63,-6.4980517289,0.01,
Cu ,65,-7.1080082011,0.01,
Zn ,64,-5.9099062521,0.01,
Zn ,66,-5.7388945186,0.01,
Zn ,67,-8.9751729836,0.01,
Zn ,68,-9.190709908,0.01,
Zn ,70,-15.6152350008,0.01,
Ga ,69,-13.3926182678,0.01,
Ga ,71,-14.8315674787,0.01,
