t ref, , 5.00000145976923278e+01
Ejecta, C, 3.58154560328570390e-02
Ejecta, O, 1.14816745744821702e-01
Ejecta, Mg, 3.94623706120698289e-02
Ejecta, Si, 5.14980873688791529e-01
Ejecta, Fe, 1.58405480730509147e+01
Shell, ,1.31939004265022003e-01
Abd, C, 7.19029605371782343e-02
Abd, O, 2.30307668362437629e-01
Abd, Mg, 7.90789630300781921e-02
Abd, Si, 4.79129873788727956e-01
Abd, Fe, 9.99999997592968759e-01
Dens, C, 7.43303804024524561e-01
Dens, O, 7.42783349628804213e-01
Dens, Mg, 7.42783349628804213e-01
Dens, Si, 1.23437294940311193e+00
Dens, Fe, 1.58958671601509938e+01
Dens, Shell, 1.32798359239983177e-01
Vel, C, 1.55346513203151345e+09
Vel, O, 1.55346513203151345e+09
Vel, Mg, 1.55346513203151345e+09
Vel, Si, 1.07325058469961178e+09
Vel, Fe, 8.96786202848732322e+07
Vel, Shell, 1.81382241672953248e+09
t norm, C, 5.00000145976923278e+01
t norm, O, 5.00000145976923278e+01
t norm, Mg, 5.00000145976923278e+01
t norm, Si, 5.00000145976923278e+01
t norm, Fe, 5.00000145976923278e+01
t norm, Shell, 5.00000145976923278e+01
