t ref, , 5.00001242012381084e+01
Ejecta, C, 2.40394784151984862e-02
Ejecta, O, 7.75571724886142400e-02
Ejecta, Mg, 2.67252932658312223e-02
Ejecta, Si, 4.95885220722395381e-01
Ejecta, Fe, 1.57525441238349000e+01
Shell, ,7.33414053446662939e-02
Abd, C, 9.46627491716214436e-02
Abd, O, 3.04289925361669766e-01
Abd, Mg, 1.04715925508385863e-01
Abd, Si, 5.28669220529982331e-01
Abd, Fe, 9.99991064807104202e-01
Dens, C, 4.41184579660214571e-01
Dens, O, 4.41763150963170315e-01
Dens, Mg, 4.41763150963170315e-01
Dens, Si, 1.02507199876065158e+00
Dens, Fe, 1.59755600992326379e+01
Dens, Shell, 7.56583731861496245e-02
Vel, C, 1.68143444331092358e+09
Vel, O, 1.68143444331092358e+09
Vel, Mg, 1.68143444331092358e+09
Vel, Si, 1.10444307454911613e+09
Vel, Fe, 1.42790793279437184e+08
Vel, Shell, 1.94370324729356337e+09
t norm, C, 5.00001242012381084e+01
t norm, O, 5.00001242012381084e+01
t norm, Mg, 5.00001242012381084e+01
t norm, Si, 5.00001242012381084e+01
t norm, Fe, 5.00001242012381084e+01
t norm, Shell, 5.00001242012381084e+01
